"","value","metric"
"1",15.935212,"'CPU Controller MicroK8s '"
"2",16.008268,"'CPU Controller MicroK8s '"
"3",19.997208,"'CPU Controller MicroK8s '"
"4",17.89029,"'CPU Controller MicroK8s '"
"5",18.894486,"'CPU Controller MicroK8s '"
"6",15.52559,"'CPU Controller MicroK8s '"
"7",15.331854,"'CPU Controller MicroK8s '"
"8",16.67344,"'CPU Controller MicroK8s '"
"9",18.632968,"'CPU Controller MicroK8s '"
"10",16.113956,"'CPU Controller MicroK8s '"
"11",15.853124,"'CPU Controller MicroK8s '"
"12",16.309412,"'CPU Controller MicroK8s '"
"13",18.445578,"'CPU Controller MicroK8s '"
"14",15.9257,"'CPU Controller MicroK8s '"
"15",17.283502,"'CPU Controller MicroK8s '"
"16",18.605184,"'CPU Controller MicroK8s '"
"17",18.016544,"'CPU Controller MicroK8s '"
"18",17.887186,"'CPU Controller MicroK8s '"
"19",15.68392,"'CPU Controller MicroK8s '"
"20",14.169766,"'CPU Controller MicroK8s '"
"21",16.549398,"'CPU Controller MicroK8s '"
"22",16.388408,"'CPU Controller MicroK8s '"
"23",14.182636,"'CPU Controller MicroK8s '"
"24",17.548174,"'CPU Controller MicroK8s '"
"25",17.270996,"'CPU Controller MicroK8s '"
"26",16.018914,"'CPU Controller MicroK8s '"
"27",16.701568,"'CPU Controller MicroK8s '"
"28",15.732202,"'CPU Controller MicroK8s '"
"29",17.950092,"'CPU Controller MicroK8s '"
"30",18.285364,"'CPU Controller MicroK8s '"
"31",14.879034,"'CPU Controller MicroK8s '"
"32",17.231622,"'CPU Controller MicroK8s '"
"33",18.887748,"'CPU Controller MicroK8s '"
"34",15.905252,"'CPU Controller MicroK8s '"
"35",15.852528,"'CPU Controller MicroK8s '"
"36",16.982612,"'CPU Controller MicroK8s '"
"37",33.58204,"'CPU Controller MicroK8s '"
"38",42.5279,"'CPU Controller MicroK8s '"
"39",16.71561,"'CPU Controller MicroK8s '"
"40",16.299978,"'CPU Controller MicroK8s '"
"41",18.318292,"'CPU Controller MicroK8s '"
"42",15.633896,"'CPU Controller MicroK8s '"
"43",15.251346,"'CPU Controller MicroK8s '"
"44",16.386974,"'CPU Controller MicroK8s '"
"45",18.539524,"'CPU Controller MicroK8s '"
"46",14.65388,"'CPU Controller MicroK8s '"
"47",15.59369,"'CPU Controller MicroK8s '"
"48",16.493374,"'CPU Controller MicroK8s '"
"49",17.97235,"'CPU Controller MicroK8s '"
"50",16.389992,"'CPU Controller MicroK8s '"
"51",17.345636,"'CPU Controller MicroK8s '"
"52",17.971176,"'CPU Controller MicroK8s '"
"53",18.17553,"'CPU Controller MicroK8s '"
"54",16.43002,"'CPU Controller MicroK8s '"
"55",18.953536,"'CPU Controller MicroK8s '"
"56",16.95913,"'CPU Controller MicroK8s '"
"57",17.850408,"'CPU Controller MicroK8s '"
"58",16.379374,"'CPU Controller MicroK8s '"
"59",14.801754,"'CPU Controller MicroK8s '"
"60",13.594612,"'CPU Controller MicroK8s '"
"61",11.875592,"'CPU Worker MicroK8s '"
"62",18.49211,"'CPU Worker MicroK8s '"
"63",32.742424,"'CPU Worker MicroK8s '"
"64",9.991658,"'CPU Worker MicroK8s '"
"65",6.898842,"'CPU Worker MicroK8s '"
"66",3.90553,"'CPU Worker MicroK8s '"
"67",6.62933,"'CPU Worker MicroK8s '"
"68",4.10529,"'CPU Worker MicroK8s '"
"69",6.521964,"'CPU Worker MicroK8s '"
"70",4.897182,"'CPU Worker MicroK8s '"
"71",6.613766,"'CPU Worker MicroK8s '"
"72",4.297122,"'CPU Worker MicroK8s '"
"73",7.00452,"'CPU Worker MicroK8s '"
"74",6.400924,"'CPU Worker MicroK8s '"
"75",7.22426,"'CPU Worker MicroK8s '"
"76",6.080884,"'CPU Worker MicroK8s '"
"77",5.83463999999999,"'CPU Worker MicroK8s '"
"78",3.911152,"'CPU Worker MicroK8s '"
"79",6.899148,"'CPU Worker MicroK8s '"
"80",3.515102,"'CPU Worker MicroK8s '"
"81",6.63632200000001,"'CPU Worker MicroK8s '"
"82",5.042278,"'CPU Worker MicroK8s '"
"83",15.45451,"'CPU Worker MicroK8s '"
"84",4.28485000000001,"'CPU Worker MicroK8s '"
"85",6.731482,"'CPU Worker MicroK8s '"
"86",4.186244,"'CPU Worker MicroK8s '"
"87",7.38911,"'CPU Worker MicroK8s '"
"88",3.514216,"'CPU Worker MicroK8s '"
"89",7.283826,"'CPU Worker MicroK8s '"
"90",3.705348,"'CPU Worker MicroK8s '"
"91",6.353944,"'CPU Worker MicroK8s '"
"92",3.69600800000001,"'CPU Worker MicroK8s '"
"93",6.448562,"'CPU Worker MicroK8s '"
"94",5.780828,"'CPU Worker MicroK8s '"
"95",6.822738,"'CPU Worker MicroK8s '"
"96",3.518648,"'CPU Worker MicroK8s '"
"97",6.64488799999999,"'CPU Worker MicroK8s '"
"98",3.704218,"'CPU Worker MicroK8s '"
"99",7.11652599999999,"'CPU Worker MicroK8s '"
"100",4.108178,"'CPU Worker MicroK8s '"
"101",6.73008799999999,"'CPU Worker MicroK8s '"
"102",3.711164,"'CPU Worker MicroK8s '"
"103",6.62770999999999,"'CPU Worker MicroK8s '"
"104",4.00331199999999,"'CPU Worker MicroK8s '"
"105",6.87109599999999,"'CPU Worker MicroK8s '"
"106",5.18557199999999,"'CPU Worker MicroK8s '"
"107",6.802752,"'CPU Worker MicroK8s '"
"108",3.228768,"'CPU Worker MicroK8s '"
"109",6.325222,"'CPU Worker MicroK8s '"
"110",3.805342,"'CPU Worker MicroK8s '"
"111",7.021378,"'CPU Worker MicroK8s '"
"112",4.595156,"'CPU Worker MicroK8s '"
"113",6.536096,"'CPU Worker MicroK8s '"
"114",3.807198,"'CPU Worker MicroK8s '"
"115",6.137474,"'CPU Worker MicroK8s '"
"116",4.08332,"'CPU Worker MicroK8s '"
"117",6.812056,"'CPU Worker MicroK8s '"
"118",5.001304,"'CPU Worker MicroK8s '"
"119",6.71814999999999,"'CPU Worker MicroK8s '"
"120",4.60005,"'CPU Worker MicroK8s '"
"121",27.1274497223936,"'Mem Controller MicroK8s '"
"122",27.1650808143122,"'Mem Controller MicroK8s '"
"123",27.12189019124,"'Mem Controller MicroK8s '"
"124",27.1425909932141,"'Mem Controller MicroK8s '"
"125",27.1528982109809,"'Mem Controller MicroK8s '"
"126",27.1650314620605,"'Mem Controller MicroK8s '"
"127",27.1166909315238,"'Mem Controller MicroK8s '"
"128",27.1628698334361,"'Mem Controller MicroK8s '"
"129",27.2196767427514,"'Mem Controller MicroK8s '"
"130",27.2314546576188,"'Mem Controller MicroK8s '"
"131",27.2027094386181,"'Mem Controller MicroK8s '"
"132",27.2335323874152,"'Mem Controller MicroK8s '"
"133",27.2382208513263,"'Mem Controller MicroK8s '"
