"","value","metric"
"1",18.454456,"'CPU Controller MicroShift '"
"2",16.019058,"'CPU Controller MicroShift '"
"3",19.826336,"'CPU Controller MicroShift '"
"4",19.111956,"'CPU Controller MicroShift '"
"5",21.501196,"'CPU Controller MicroShift '"
"6",18.650832,"'CPU Controller MicroShift '"
"7",21.305232,"'CPU Controller MicroShift '"
"8",19.090808,"'CPU Controller MicroShift '"
"9",20.541318,"'CPU Controller MicroShift '"
"10",20.787522,"'CPU Controller MicroShift '"
"11",17.588494,"'CPU Controller MicroShift '"
"12",17.651898,"'CPU Controller MicroShift '"
"13",20.598366,"'CPU Controller MicroShift '"
"14",18.244758,"'CPU Controller MicroShift '"
"15",19.878684,"'CPU Controller MicroShift '"
"16",19.24471,"'CPU Controller MicroShift '"
"17",20.37701,"'CPU Controller MicroShift '"
"18",21.005214,"'CPU Controller MicroShift '"
"19",19.099704,"'CPU Controller MicroShift '"
"20",20.937128,"'CPU Controller MicroShift '"
"21",16.670368,"'CPU Controller MicroShift '"
"22",20.82286,"'CPU Controller MicroShift '"
"23",20.263338,"'CPU Controller MicroShift '"
"24",19.286974,"'CPU Controller MicroShift '"
"25",18.310982,"'CPU Controller MicroShift '"
"26",20.149998,"'CPU Controller MicroShift '"
"27",20.257998,"'CPU Controller MicroShift '"
"28",20.016688,"'CPU Controller MicroShift '"
"29",20.574082,"'CPU Controller MicroShift '"
"30",18.571646,"'CPU Controller MicroShift '"
"31",19.990852,"'CPU Controller MicroShift '"
"32",18.513304,"'CPU Controller MicroShift '"
"33",18.138166,"'CPU Controller MicroShift '"
"34",20.82563,"'CPU Controller MicroShift '"
"35",18.870814,"'CPU Controller MicroShift '"
"36",19.426342,"'CPU Controller MicroShift '"
"37",17.662632,"'CPU Controller MicroShift '"
"38",21.179788,"'CPU Controller MicroShift '"
"39",17.745658,"'CPU Controller MicroShift '"
"40",19.90997,"'CPU Controller MicroShift '"
"41",18.591994,"'CPU Controller MicroShift '"
"42",23.240438,"'CPU Controller MicroShift '"
"43",16.670982,"'CPU Controller MicroShift '"
"44",20.115528,"'CPU Controller MicroShift '"
"45",18.519158,"'CPU Controller MicroShift '"
"46",19.79977,"'CPU Controller MicroShift '"
"47",19.32607,"'CPU Controller MicroShift '"
"48",19.91303,"'CPU Controller MicroShift '"
"49",18.495864,"'CPU Controller MicroShift '"
"50",20.22112,"'CPU Controller MicroShift '"
"51",18.433676,"'CPU Controller MicroShift '"
"52",20.957078,"'CPU Controller MicroShift '"
"53",21.39706,"'CPU Controller MicroShift '"
"54",18.645416,"'CPU Controller MicroShift '"
"55",17.388752,"'CPU Controller MicroShift '"
"56",20.44739,"'CPU Controller MicroShift '"
"57",18.194082,"'CPU Controller MicroShift '"
"58",21.20603,"'CPU Controller MicroShift '"
"59",19.577686,"'CPU Controller MicroShift '"
"60",21.352222,"'CPU Controller MicroShift '"
"61",19.8697561998766,"'Mem Controller MicroShift '"
"62",19.8760409623689,"'Mem Controller MicroShift '"
"63",19.8672500925355,"'Mem Controller MicroShift '"
"64",19.8461305367057,"'Mem Controller MicroShift '"
"65",19.8741712523134,"'Mem Controller MicroShift '"
"66",19.9339333744602,"'Mem Controller MicroShift '"
"67",19.8890151758174,"'Mem Controller MicroShift '"
"68",19.8930445404072,"'Mem Controller MicroShift '"
"69",19.9563153608883,"'Mem Controller MicroShift '"
"70",19.8913191856878,"'Mem Controller MicroShift '"
"71",19.9019126465145,"'Mem Controller MicroShift '"
"72",19.8917140037014,"'Mem Controller MicroShift '"
"73",19.853986674892,"'Mem Controller MicroShift '"
