"","value","metric"
"1",10.2618,"'CPU Controller k0s '"
"2",11.751976,"'CPU Controller k0s '"
"3",12.72784,"'CPU Controller k0s '"
"4",10.26435,"'CPU Controller k0s '"
"5",13.103978,"'CPU Controller k0s '"
"6",13.658146,"'CPU Controller k0s '"
"7",11.443612,"'CPU Controller k0s '"
"8",11.29864,"'CPU Controller k0s '"
"9",11.548876,"'CPU Controller k0s '"
"10",12.95327,"'CPU Controller k0s '"
"11",12.722912,"'CPU Controller k0s '"
"12",11.032506,"'CPU Controller k0s '"
"13",13.125434,"'CPU Controller k0s '"
"14",11.506904,"'CPU Controller k0s '"
"15",10.766284,"'CPU Controller k0s '"
"16",10.128104,"'CPU Controller k0s '"
"17",13.99344,"'CPU Controller k0s '"
"18",10.992216,"'CPU Controller k0s '"
"19",10.010528,"'CPU Controller k0s '"
"20",11.707828,"'CPU Controller k0s '"
"21",13.146752,"'CPU Controller k0s '"
"22",12.465244,"'CPU Controller k0s '"
"23",11.983062,"'CPU Controller k0s '"
"24",14.544576,"'CPU Controller k0s '"
"25",11.030868,"'CPU Controller k0s '"
"26",11.51897,"'CPU Controller k0s '"
"27",10.206338,"'CPU Controller k0s '"
"28",13.25029,"'CPU Controller k0s '"
"29",10.748156,"'CPU Controller k0s '"
"30",11.199662,"'CPU Controller k0s '"
"31",12.700918,"'CPU Controller k0s '"
"32",11.273024,"'CPU Controller k0s '"
"33",9.942176,"'CPU Controller k0s '"
"34",11.566998,"'CPU Controller k0s '"
"35",13.654558,"'CPU Controller k0s '"
"36",11.157302,"'CPU Controller k0s '"
"37",10.380734,"'CPU Controller k0s '"
"38",13.09933,"'CPU Controller k0s '"
"39",10.611364,"'CPU Controller k0s '"
"40",12.218864,"'CPU Controller k0s '"
"41",11.099698,"'CPU Controller k0s '"
"42",14.133946,"'CPU Controller k0s '"
"43",10.121742,"'CPU Controller k0s '"
"44",11.398084,"'CPU Controller k0s '"
"45",12.477224,"'CPU Controller k0s '"
"46",11.84935,"'CPU Controller k0s '"
"47",11.400556,"'CPU Controller k0s '"
"48",11.64143,"'CPU Controller k0s '"
"49",12.055292,"'CPU Controller k0s '"
"50",11.952608,"'CPU Controller k0s '"
"51",9.71365,"'CPU Controller k0s '"
"52",11.237462,"'CPU Controller k0s '"
"53",12.046736,"'CPU Controller k0s '"
