"","value","metric"
"1",18.37384,"'CPU Controller k3s '"
"2",19.28457,"'CPU Controller k3s '"
"3",21.34347,"'CPU Controller k3s '"
"4",22.941372,"'CPU Controller k3s '"
"5",18.670744,"'CPU Controller k3s '"
"6",19.328838,"'CPU Controller k3s '"
"7",22.597466,"'CPU Controller k3s '"
"8",20.383286,"'CPU Controller k3s '"
"9",18.375798,"'CPU Controller k3s '"
"10",20.912998,"'CPU Controller k3s '"
"11",21.698288,"'CPU Controller k3s '"
"12",21.968114,"'CPU Controller k3s '"
"13",19.27086,"'CPU Controller k3s '"
"14",20.81434,"'CPU Controller k3s '"
"15",19.549156,"'CPU Controller k3s '"
"16",21.983266,"'CPU Controller k3s '"
"17",18.98639,"'CPU Controller k3s '"
"18",21.613936,"'CPU Controller k3s '"
"19",22.265956,"'CPU Controller k3s '"
"20",19.69043,"'CPU Controller k3s '"
"21",17.797032,"'CPU Controller k3s '"
"22",22.571378,"'CPU Controller k3s '"
"23",18.19737,"'CPU Controller k3s '"
"24",22.5168,"'CPU Controller k3s '"
"25",18.698146,"'CPU Controller k3s '"
"26",22.176114,"'CPU Controller k3s '"
"27",18.970504,"'CPU Controller k3s '"
"28",20.993044,"'CPU Controller k3s '"
"29",19.102888,"'CPU Controller k3s '"
"30",22.21496,"'CPU Controller k3s '"
"31",18.67601,"'CPU Controller k3s '"
"32",21.374844,"'CPU Controller k3s '"
"33",19.592868,"'CPU Controller k3s '"
"34",22.55876,"'CPU Controller k3s '"
"35",18.462932,"'CPU Controller k3s '"
"36",19.281068,"'CPU Controller k3s '"
"37",21.81027,"'CPU Controller k3s '"
"38",20.285654,"'CPU Controller k3s '"
"39",20.679888,"'CPU Controller k3s '"
"40",19.685736,"'CPU Controller k3s '"
"41",22.235544,"'CPU Controller k3s '"
"42",19.374214,"'CPU Controller k3s '"
"43",23.743936,"'CPU Controller k3s '"
"44",19.413836,"'CPU Controller k3s '"
"45",22.220608,"'CPU Controller k3s '"
"46",18.342198,"'CPU Controller k3s '"
"47",19.471858,"'CPU Controller k3s '"
"48",18.79076,"'CPU Controller k3s '"
"49",21.699156,"'CPU Controller k3s '"
"50",19.089226,"'CPU Controller k3s '"
"51",22.737564,"'CPU Controller k3s '"
"52",20.765222,"'CPU Controller k3s '"
"53",21.596808,"'CPU Controller k3s '"
"54",18.45249,"'CPU Controller k3s '"
"55",19.095556,"'CPU Controller k3s '"
"56",20.036764,"'CPU Controller k3s '"
"57",20.805142,"'CPU Controller k3s '"
"58",22.030644,"'CPU Controller k3s '"
"59",19.59232,"'CPU Controller k3s '"
"60",20.408568,"'CPU Controller k3s '"
"61",5.43282600000001,"'CPU Worker k3s '"
"62",5.017224,"'CPU Worker k3s '"
"63",5.858114,"'CPU Worker k3s '"
"64",5.539314,"'CPU Worker k3s '"
"65",6.055674,"'CPU Worker k3s '"
"66",5.640384,"'CPU Worker k3s '"
"67",5.433274,"'CPU Worker k3s '"
"68",5.515182,"'CPU Worker k3s '"
"69",4.938326,"'CPU Worker k3s '"
"70",5.034862,"'CPU Worker k3s '"
"71",4.815776,"'CPU Worker k3s '"
"72",4.743618,"'CPU Worker k3s '"
"73",4.936392,"'CPU Worker k3s '"
"74",6.10775,"'CPU Worker k3s '"
"75",5.937074,"'CPU Worker k3s '"
"76",5.52876000000001,"'CPU Worker k3s '"
"77",6.014122,"'CPU Worker k3s '"
"78",5.149648,"'CPU Worker k3s '"
"79",5.23684,"'CPU Worker k3s '"
"80",5.431704,"'CPU Worker k3s '"
"81",5.137894,"'CPU Worker k3s '"
"82",5.6206,"'CPU Worker k3s '"
"83",4.726772,"'CPU Worker k3s '"
"84",4.762902,"'CPU Worker k3s '"
"85",5.023428,"'CPU Worker k3s '"
"86",5.237858,"'CPU Worker k3s '"
"87",6.137862,"'CPU Worker k3s '"
"88",5.13793200000001,"'CPU Worker k3s '"
"89",5.84186800000001,"'CPU Worker k3s '"
"90",5.231208,"'CPU Worker k3s '"
"91",5.52567999999999,"'CPU Worker k3s '"
"92",4.33909199999999,"'CPU Worker k3s '"
"93",5.238024,"'CPU Worker k3s '"
"94",4.93431200000001,"'CPU Worker k3s '"
"95",5.23577400000001,"'CPU Worker k3s '"
"96",5.24034399999999,"'CPU Worker k3s '"
"97",5.122726,"'CPU Worker k3s '"
"98",4.643992,"'CPU Worker k3s '"
"99",6.04136800000001,"'CPU Worker k3s '"
"100",5.133804,"'CPU Worker k3s '"
"101",4.95438,"'CPU Worker k3s '"
"102",5.228826,"'CPU Worker k3s '"
"103",5.240852,"'CPU Worker k3s '"
"104",4.94095799999999,"'CPU Worker k3s '"
"105",5.037856,"'CPU Worker k3s '"
"106",5.53137599999999,"'CPU Worker k3s '"
"107",4.83290599999999,"'CPU Worker k3s '"
"108",5.327378,"'CPU Worker k3s '"
"109",4.73690999999999,"'CPU Worker k3s '"
"110",5.818592,"'CPU Worker k3s '"
"111",6.01718200000001,"'CPU Worker k3s '"
"112",4.848018,"'CPU Worker k3s '"
"113",5.73575,"'CPU Worker k3s '"
"114",5.325166,"'CPU Worker k3s '"
"115",5.51611200000001,"'CPU Worker k3s '"
"116",4.84188399999999,"'CPU Worker k3s '"
"117",6.229724,"'CPU Worker k3s '"
"118",4.928478,"'CPU Worker k3s '"
"119",5.131282,"'CPU Worker k3s '"
"120",4.833478,"'CPU Worker k3s '"
"121",23.2630129549661,"'Mem Controller k3s '"
"122",23.1245848241826,"'Mem Controller k3s '"
"123",23.0952745219001,"'Mem Controller k3s '"
"124",23.2604639111659,"'Mem Controller k3s '"
